套料图名,分段号,切割机,切割序号,切割开始(min),切割完成(min),切割工时(min),原料吊运开始(min),原料空驶完成(min),原料吊运完成(min),原料吊运返回完成(min),工位开始(min),等待结束(min),工位处理时间(min),工位完工(min),工位,最低优先级
U02S-1340,DC12,N5,48,1564.806546119064,1666.55104512831,101.74449900924601,1524.5475782610745,1527.5475782610745,1530.5475782610745,1530.5475782610745,1530.5475782610745,1564.806546119064,58.08290733996046,1724.6339524682705,1,2
U02S-1348,DC12,N2,49,1536.5475782610745,1556.5750301829344,20.02745192186,1530.5475782610745,1533.5475782610745,1536.5475782610745,1536.5475782610745,1536.5475782610745,1536.5475782610745,29.259909523810165,1585.8349397067445,0,1
U02S-1338,DC12,N2,50,1556.5750301829344,1599.2508228273812,42.675792644446716,1536.5475782610745,1544.5475782610745,1547.5475782610745,1547.5475782610745,1547.5475782610745,1556.5750301829344,4.303834666666717,1603.554657494048,1,1
U02S-1344,DC12,N2,51,1599.2508228273812,1666.35182383679,67.10100100940873,1579.8349397067445,1582.8349397067445,1585.8349397067445,1585.8349397067445,1585.8349397067445,1599.2508228273812,59.93237936507876,1726.2842032018686,0,1
U02S-1343,DC12,N5,52,1666.9673132619212,1848.7017946855522,181.73448142363094,1655.9673132619212,1663.9673132619212,1666.9673132619212,1666.9673132619212,1666.9673132619212,1666.9673132619212,141.38614904761835,1990.0879437331705,0,1
U02S-1346,DC12,N2,53,1666.35182383679,1677.6206509043786,11.268827067588841,1603.554657494048,1611.554657494048,1614.554657494048,1614.554657494048,1614.554657494048,1666.35182383679,96.11194078955327,1773.732591693932,1,2
U02S-1345,DC12,N2,54,1728.5614663077972,1746.5757281275041,18.014261819706824,1717.5614663077972,1725.5614663077972,1728.5614663077972,1728.5614663077972,1728.5614663077972,1728.5614663077972,78.2712271378557,1824.8469552653598,0,2
U02B-1332,DC12,N2,55,1773.732591693932,1804.909628432315,31.17703673838312,1767.732591693932,1770.732591693932,1773.732591693932,1773.732591693932,1773.732591693932,1773.732591693932,11.669909128205063,1816.57953756052,1,4
U02S-1335,DC12,N2,56,1827.57953756052,1887.3597186625136,59.78018110199349,1816.57953756052,1824.57953756052,1827.57953756052,1827.57953756052,1827.57953756052,1827.57953756052,36.905982698412345,1924.265701360926,0,2
U02S-1341,DC12,N2,57,1887.3597186625136,1925.1903101184794,37.83059145596571,1827.57953756052,1830.57953756052,1833.57953756052,1833.57953756052,1833.57953756052,1887.3597186625136,49.425265634920834,1974.6155757534002,1,2
